date,minutes,track,kind,note
2026-08-24,90,thesis,writing,ร้อยเรียงปรัชญา/กลไก/ผลการทดลองของ repo เป็น prompt สำหรับคณะที่ปรึกษา (สำรวจ repo + เขียน + artifact)
2026-08-24,120,thesis,review,ตรวจส่วนที่ 2 ของ prompt กับ repo แล้วเขียนบทวิเคราะห์คณะที่ปรึกษา 8 หัวข้อ · พบ 6 จุดที่ prompt คลาด
2026-08-25,1140,thesis,governance,วางแผน 6 ข้อจากบทวิเคราะห์ · ตัดสิน CLA/time-log/freeze · effort log + เทสต์ · ADR 0075/0076 · CLA.md · ตั้งชื่อ verifiable-gates + สร้าง repo + branch protection (พิสูจน์ด้วยการลองฝ่า) · แก้ตัวตน git ที่ผิดและเขียนประวัติใหม่สองรอบ · ขั้น 0 สำมะโน · ขั้น 1 โครง repo + registry schema · ขั้น 2a กติกาภาษา · 2b scanner 8 ตัว · 2c doctor/installer/manifest · 2d registry scanner + preflight · 2e renderer + harness แล้วต่อ submodule เข้า todolist ลบ overlays/ · ADR 0077 · ขั้น 6 ย้ายทะเบียน: คลังกฎ 92 ข้อพร้อมคำแปลอังกฤษทั้งชุด (28k อักขระ) + reader + สองภาษาในไฟล์เดียว · ทำให้ vg ถือกฎ gates-registry-total ของตัวเอง (5 finding) · ถอดกฎที่ไม่มีใครบังคับ · ลบแผ่นกฎ/generator/แพ็กเกจ skill ฝั่ง todolist แล้วต่อด่านเทียบสองทิศ · ADR 0078
2026-08-26,150,thesis,governance,ขั้น 3a ของการถอด: ย้ายตัวตัดสิน lint_commits กับ check_issue_handoff ไป verifiable-gates (แปลเป็นอังกฤษ · ส่งออกไปกับ bundle · มิวเทชัน 11 จุด) · ที่นี่เหลือ adapter 72 บรรทัดพร้อมเทสต์รอยต่อ · แก้ test_dependabot ให้ import ค่าจริงแทน regex · ลงทะเบียน PROVEN_ELSEWHERE พร้อมของปลูกสามทิศ · ratchet: scripts_coverage 64→63 (ไม่จ่ายคืนโดยตั้งใจ) · suppressions 88→84
2026-08-26,600,thesis,governance,ขั้น 3b–3e · 4 · 5 ของการถอด: ย้าย skeleton/gh/workflows/สำมะโนสองตัว · ratchets+measure · removals+advertised · posture+check_names · advisories+scan_coverage · asvs_probe+measure_apps พร้อมการทดลองทั้งชุด · แปลเป็นอังกฤษทั้งหมด · มิวเทชันทุกตัวที่ย้าย (พบกิ่งที่ไม่มีผลสังเกตได้ 3 จุด และเทสต์หลวม 6 ตัว) · กติกา active(อังกฤษ)/reference(ไทย) ของเอกสารที่ย้าย · vg แตะ coverage 100% · adapter 15 ไฟล์พร้อมเทสต์รอยต่อ · ratchet: suppressions 92→90 · CALLS_FLOOR 6→4 · **ประมาณการ** จากช่วงเวลาของ session ไม่ใช่การจับเวลา
2026-08-27,60,thesis,governance,ใบตอบ badge: ถอด homepage_url/report_url ที่ไม่ใช่เกณฑ์ของระดับไหนเลย (เทียบ criteria.yml สามระดับ + schema.rb ของ badge app) · เทียบทุกช่องกับ API สดแทนการอ่านตารางในไฟล์ · gold 57→61% ทำให้แถวที่ ci:posture อ่านคู่ตรงอีกครั้ง · governance_justification 72→78 ADR · แก้ job posture ที่ไม่ได้ checkout submodule จึง ModuleNotFoundError ทุก push บน main ตั้งแต่ vg เป็น submodule (PR #248) · วินิจฉัยแบนเนอร์ code scanning ว่าเป็นอาการเดียวกัน ไม่ใช่ปัญหาใหม่
2026-08-27,220,thesis,governance,แยก job posture ออกเป็น workflow ของตัวเอง (ความแดงของมันทำให้หน้า Security ขึ้นว่า Scorecard reporting errors ทั้งที่ Scorecard เขียวทุกรอบ) · vg #27 ผ่อนผัน cron ที่ยังไม่ถึงคิวรอบแรก · bump แล้วเทสต์รอยต่อของที่นี่แดง จึงขุดเจอว่าบน clone ตื้น --diff-filter=A รายงานว่าทุกไฟล์เพิ่งเกิด = ผ่อนผันให้หมด · vg #28 ถาม --is-shallow-repository แล้วเข้มไว้ก่อน · merge → ขยับ SHA → fetch-depth 0 · วัดสองทิศทั้งเต็มและตื้น · **ประมาณการ** จากช่วงเวลาของ session ไม่ใช่การจับเวลา
2026-08-27,75,thesis,governance,ปิดช่องว่าง preflight เรื่อง service container: job test ประกาศ services.redis และตั้ง TEST_REDIS_URL ให้ · preflight ยก env ของสเต็ปมาตรง ๆ เครื่องที่ไม่มี redis เลยยิงพอร์ตที่ไม่มีใครรับแล้วแดงผิดเรื่อง (CI เขียวครบ 28 check) · ทางแก้: probe พอร์ตที่ services ประกาศ ถ้าไม่มีใครรับให้ถอนเฉพาะตัวแปรที่ถือพอร์ตนั้น แล้วรันต่อ ไม่ใช่ข้ามทั้งสเต็ป (เทสต์ที่ต้องใช้จะข้ามตัวเองตาม skipif ที่ประกาศไว้อยู่แล้ว) · รายงานแยกจาก pass สะอาดด้วย ~~ และตัวนับในสรุป · มิวเทชัน 7 จุดจับได้หมด · พบเทสต์หลวม 1 ตัว (ทุก fixture ใช้ 6379:6379 ซึ่งสองข้างเหมือนกัน จึงไม่เคยพิสูจน์ว่าอ่านฝั่ง host) แก้ด้วยเคส 16379:6379 · vg PR #29
2026-08-27,45,thesis,governance,ตัวตน git: ตั้ง user.email ของ submodule vg เป็น noreply แล้วพบว่าต้นเหตุคือ global config ที่ยังเป็น sayam@buu.ac.th จึงตั้ง global ด้วยตามที่เจ้าของสั่ง · ตรวจด้วย git var GIT_AUTHOR_IDENT ไม่ใช่ git config เพราะ local ทับ global ได้ · สำรวจขอบเขตการเขียนประวัติ vg ใหม่ (34 คอมมิต · author 19 · committer 25 · ข้อความ 10 · tag evidence-freeze-1 ที่คอมมิตที่ 16 คือจุดที่ Zenodo ตัด DOI) แล้วพบว่า todolist อ้าง SHA ของ vg อยู่ 14 จุด ซึ่งจะเสียทั้งหมด เหลือ 13 คอมมิตที่ submodule update ไม่ได้ถาวร · เจ้าของตัดสินว่าไม่เขียนใหม่ เอาแค่ข้างหน้าถูก · บันทึกคำตัดสินลง memory กันเสนอซ้ำ
2026-08-27,80,thesis,review,sweep เอกสารปิดวันทั้ง todolist และ vg: ตรวจทุกตัวเลขเทียบของจริง (branch protection API · gates.yaml · docs/adr · AUDIT-LOG · API ของ bestpractices.dev · rules.yaml กับ scan ของ vg) แล้วไม่แตะสิ่งที่ตรงอยู่แล้ว · ของค้างที่เจอเป็นชนิดเดียวกันหมดคือเอกสารบอกว่ายังไม่ได้ทำทั้งที่ทำไปแล้ว 4 ที่ (GATE-LOG อ้างว่า job ที่มี service ไม่อยู่ในขอบเขต preflight · BEST-PRACTICES สามที่เรื่อง baseline · ROADMAP-GOVERNANCE ไม่มีลิงก์ไปทะเบียน audit ที่ย้ายไปแล้ว) · เพิ่มโน้ต ADR 0060 · vg CHANGELOG ของสองแพตช์ · ทำรายการ bestpractices.dev ที่ยังแก้ได้พร้อมข้อความสำหรับวางฟอร์ม · กับดัก: เลข 72 ใน justification เป็นเพดานหัวข้อ commit ไม่ใช่จำนวน ADR
2026-08-27,55,thesis,governance,ปิด PR #246 ที่ค้างมาตั้งแต่ 26 ส.ค. (สำมะโน rerun ย้ายไป vg — ฝั่ง vg เสร็จแล้วแต่ที่นี่ยังถือตัวเต็ม 503 บรรทัดคู่กัน) · rebase ตามหลัง main 16 คอมมิต แล้วเจอสามเรื่องที่ต้องตัดสินไม่ใช่แค่ resolve: กิ่งตรึง submodule ไว้ที่ 6474ad5 ซึ่ง merge ตรง ๆ จะถอยคืน vg #27-#30 ทั้งหมด · BEST-PRACTICES ของ main ใหม่กว่าจึงเอาของ main · และบล็อกเทสต์ที่กิ่งจะลบมีตัวที่ 1256e1f เพิ่งแก้เมื่อเช้า (แม็ป job ต่อ path หลังแยก posture.yml) จึงยกความครอบคลุมนั้นขึ้นไปไว้ที่เทสต์รอยต่อแทน · เทสต์รอยต่อเดิม assert แค่ posture พร้อมข้อความที่ล้าสมัยแล้ว ขยายเป็นสามไฟล์ พิสูจน์ด้วยมิวเทชัน glob สองจุดที่ฝั่ง vg · adapter เหลือ 95 บรรทัด · ชุดเต็ม 1962 passed
